review_title,review_text,sentiment
Does the job,nice,Positive
Must buy!,nice product,positive
Fair,geniune product,Neutral
Excellent,super cool and superb look,positive
Worth every penny,nice,positive
Nice product,it lasts long although you have to be a little bit careful with the smug it is good with that but can smug a little easier than expected especially when wet simply put not for children or those whore new to kajals and not habitual,
Good,nice product,positive
Not good,not good,negative
Excellent,my favourite kajal,positive
Terrific purchase,nice ,positive
Simply awesome,fantastic,positive
Best in the market!,good,positive
Good quality product,good product ,positive
Simply awesome,good quality smudge proof,
Excellent,awesome,positive
Terrific purchase,nice kajal,positive
Pretty good,worth the money,Positive
Does the job,nice,Positive
Classy product,super product ,Positive
Fabulous!,very good,positive
Just wow!,no words just more love,positive
Best in the market!,nice,positive
Perfect product!,good product,Positive
Delightful,good product,positive
Wonderful,nice,positive
Excellent,good,positive
Must buy!,nice,positive
Good choice,best products,positive
Does the job,product is good,positive
Great product,very good products,positive
Brilliant,good,positive
Super!,super ,Positive
Good choice,nice,positive
Brilliant,awesome ,positive
Best in the market!,must buy,positive
Highly recommended,nice discount love this,positive
Just okay,highly recommended,positive
Brilliant,very good product ,positive
Super!,good,positive
Classy product,superb ,
Pretty good,nice,Positive
Mind-blowing purchase,tan,Neutral
Classy product,dark long lasting perfect kajal ,positive
Fair,nice,Positive
Perfect product!,very good product,positive
Perfect product!,good,positive
Simply awesome,must buy,positive
Classy product,good,positive
Just wow!,simply awesomelong lasting kajal available at a very reasonable pricethis is my most preferred brand with respect of kajalhighly recommendedthanks flipkart lakme,positive
Perfect product!,good,positive
Excellent,good,positive
Wonderful,good products good price good delivery,positive
Absolute rubbish!,not bad,positive
Worth every penny,really good product im satisfied ,positive
Mind-blowing purchase,good product,positive
Pretty good,good,positive
Must buy!,very good product,positive
Simply awesome,nice,positive
Very Good,good quality,positive
Terrific,ok,neutral
Great product,good,positive
Mind-blowing purchase,nice kajal somewhat long lasting than other kajal,positive
Best in the market!,nice,Positive
Value-for-money,nice one,positive
Very Good,good,positive
Best in the market!,very nice product,positive
Terrific,nice,Positive
Wonderful,osm,Positive
Simply awesome,best kajal,positive
Classy product,superb,Positive
Fabulous!,best in the market,positive
Excellent,nyc,positive
Terrific purchase,its supper kajal i love it,positive
Just wow!,nice ,Positive
Highly recommended,good,positive
Must buy!,very nice,Positive
Awesome,nice one,positive
Very Good,budjet friendly kajal,positive
Pretty good,nice kajal i like it,Positive
Value-for-money,i am soo happy thank you flipkart,
Super!,vry nice ,positive
Simply awesome,very nice product ,positive
Terrific purchase,so good,
Highly recommended,excellent,Positive
Simply awesome,nyc product,positive
Must buy!,good product,positive
Brilliant,awesome,Positive
Pretty good,nice,Positive
Super!,nice,positive
Fabulous!,just wow,positive
Good quality product,nice,positive
Wonderful,nice,Positive
Just wow!,good,positive
Terrible product,very good ,positive
Fabulous!,must buy,Positive
Perfect product!,ok,neutral
Mind-blowing purchase,good product,positive
Mind-blowing purchase,good,positive
Just wow!,good product go for it,positive
Just wow!,good,positive
Delightful,customer happy ,positive
Super!,very good,positive
Classy product,good,positive
Must buy!,product is very good,Positive
Highly recommended,very wonderful product ,positive
Great product,superb,positive
Excellent,very good,positive
Value-for-money,love this,positive
Pretty good,nice kajal,positive
Just okay,nyc bt not smudge proof,neutral
Wonderful,very smooth,positive
Good,good,positive
Moderate,waste,negative
Highly recommended,very nice kajal ,Positive
Terrific purchase,amazing product thank u flipkart,Positive
Fair,worth it,positive
Super!,super very nice i am very happy,positive
Fabulous!,nic,positive
Great product,i always use lakme kajal as a liner i love this product you can use powder after application of this kajal as a liner and than it works as waterproof liner without any smudgehappy with this product and happy with the flipcart services thank you,positive
Terrific purchase,nice product,positive
Super!,product quality is good pricesproduct quality is good price is also very good thank you flipkart,positive
Fabulous!,osm,positive
Mind-blowing purchase,its too nice with 24 hours lasting kajal,positive
Perfect product!,nice,positive
Super!,i love this ,positive
Best in the market!,very nice,positive
Decent product,average price,neutral
Mind-blowing purchase,very nice ,positive
Mind-blowing purchase,very good,positive
Brilliant,nice and original not smudge free though,neutral
Simply awesome,nice product,positive
Super!,good product,positive
Terrific,very nice product,positive
Awesome,nice,positive
Terrific,great product,positive
Terrific purchase,very nice,positive
Just wow!,so much good,positive
Good quality product,ok,neutral
Highly recommended,fine product,Positive
Terrific,superb,Positive
Worth every penny,good quality,positive
Classy product,awesome,positive
Absolute rubbish!,hate it,negative
Classy product,beautiful product,Positive
Excellent,super kajal,positive
Value-for-money,nice product,positive
Classy product,great kajal loved it,positive
Value-for-money,i like it,Positive
Must buy!,best kajal,positive
Decent product,good,positive
Perfect product!,supr,Positive
Worth every penny,good,Positive
Classy product,nice,Positive
Good choice,nice product,positive
Great product,nice,positive
Excellent,always best,positive
Must buy!,very gud,positive
Fabulous!,super,positive
Worth the money,good,positive
Worth every penny,very good product,positive
Super!,spr,positive
Useless product,quality is not good,negative
Super!,loved the product,positive
Terrific purchase,excellent purchase,
Wonderful,very good,positive
Must buy!,awesome,positive
Mind-blowing purchase,very nice tq flipkart,positive
Classy product,amazing product ,positive
Highly recommended,good,positive
Wonderful,good,positive
Awesome,beautiful,positive
Worth the money,amazing ,positive
Must buy!,nice product,positive
Just wow!,original product received,positive
Simply awesome,so happy my sister,positive
Delightful,as always superrrrr,Positive
Pretty good,super,Positive
Fair,bad product,negative
Excellent,nice ,positive
Excellent,i just love it,positive
Highly recommended,good eye kajal ,positive
Bad quality,not smudge proof,negative
Value-for-money,good,positive
Really Nice,good,positive
Very Good,very goodilike this,positive
Awesome,nice,positive
Fabulous!,very gud and original,positive
Wonderful,very good,positive
Terrific purchase,good product,positive
Terrific,very nice product,positive
Value-for-money,good,Positive
Nice,good but not very good,Negative
Terrific purchase,osm ,positive
Mind-blowing purchase,very nice product ,
Fabulous!,very nice,positive
Fabulous!,it gives so dark finishing and we can also use this product as a eyeliner as well as it also gives smooth and creamy finishing so l give 5 star thanks flipkart,positive
Worth every penny,good product and original,positive
Highly recommended,just love it,positive
Nice product,nice product,positive
Worth every penny,good product fast delivery thanks flipkart,Positive
Wonderful,ok,Neutral
Best in the market!,best go for it,positive
Pretty good,its very good product ,positive
Great product,nice product,positive
Worth the money,good one,Positive
Great product,awesome,positive
Simply awesome,nice quality,positive
Good choice,osam,Positive
Wonderful,osm,Positive
Brilliant,gd,positive
Excellent,good product ,positive
Awesome,nice,positive
Very Good,i love it,positive
Simply awesome,very good,positive
Good quality product,nice,positive
Worth every penny,nice,positive
Excellent,excellent,positive
Highly recommended,good,positive
Very poor,poor quality,negative
Simply awesome,very nice packing is not a good ,positive
Simply awesome,excellent,positive
Highly recommended,nice ,positive
Fair,ok but not long lasting,negative
Must buy!,nice,positive
Just wow!,worth it,positive
Must buy!,i like lakeme products for women gromming the lakeme kajal deep black is genuine you can go for it easily,positive
Good choice,product is very good,Positive
Terrific purchase,very good product ,positive
Perfect product!,superb ,positive
Very Good, quality,Neutral
Nice,nice,positive
Classy product,loved it all time favorite ,Positive
Very Good,nice,positive
Great product,the rate is very comfartable,positive
Highly recommended,nice,positive
Just wow!,good product and long lasting loved the product tq flipkart,positive
Just wow!,nice,positive
Did not meet expectations,this is very bad poudct,negative
Best in the market!,amazing lovely ,positive
Terrific,thank you flipkart,positive
Classy product,good,positive
Decent product,its good but oily n not better than maybelline colossal kajal,negative
Classy product,thanks flipkart,Positive
Just wow!,nice,positive
Worth every penny,super,positive
Perfect product!,ok ,Neutral
Excellent,nice,Positive
Mind-blowing purchase,nice product,positive
Highly recommended,nice ,
Terrific,gd,positive
Mind-blowing purchase,thank you,Positive
Simply awesome,osm,positive
Worth every penny,i got it one pack for 179 inr which is price for single one i got 2 its wonderful eyeconic is my favourite and i m using it from last 7 years and its perfect ,positive
Perfect product!,good,positive
Excellent,value for money,positive
Fabulous!,nice product meterial thank you,Positive
Terrific,super proud and packaging was also good same as in the picture,positive
Perfect product!,good quality product,positive
Brilliant,nice i loved it thank you,positive
Nice,super product i am happy thank you flip cart afortable prize,positive
Terrific purchase,nice,positive
Wonderful,nice productfast delivery ,positive
Terrific,good product,positive
Brilliant,its very dark black and its give very beautiful eyes after putting this kajal value for the money godd packing and sharp delivery,positive
Excellent,liked it worth it,Positive
Simply awesome,good,positive
Wonderful,really awesome product thank you flipkark,Positive
Terrific,worth really,positive
Terrific purchase,best quality ,positive
Must buy!,thank you flipkart,Positive
Very Good,good,neutral
Worth the money,it is a good profuct in low price i really loved it thanks flipkart,positive
Simply awesome,wow super,positive
Super!,good ,positive
Terrific,nice,Positive
Best in the market!,nice ,positive
Wonderful,i nice product,positive
Mind-blowing purchase,very good quality,positive
Must buy!,so nice product,positive
Great product, it is fantastic ,positive
Highly recommended,product was really good and delived properly,positive
Horrible,this product is very poor in quality its make my eyes alergic,negative
Wonderful,good,positive
Great product,super,Positive
Simply awesome,nice,Positive
Simply awesome,good product,positive
Classy product,good one,positive
Just okay,good,positive
Just wow!,nice,Positive
Terrific purchase,good nd fast delivery ,positive
Good choice,nic product,Positive
Just wow!,love it,positive
Very Good,nice product ,positive
Worth every penny,good qlty very nice,positive
Pretty good,fantastic just go for it,Positive
Fabulous!,best quality at this pricego for it guys,Positive
Must buy!,good,positive
Good choice,i like it awesome,positive
Best in the market!,good product and fast delivery ,positive
Useless product,the quality of kajal was verry bad,negative
Good quality product,good ,Positive
Nice product,good,positive
Good choice,perfect,positive
Classy product,nice,positive
Fabulous!,very nice product in this price plz go for it,positive
Just wow!,a superb beautiful kajal prices are very low thanks to flipkart,positive
Just wow!,love it,Positive
Just wow!,nice ,Positive
Highly recommended,awesome productjust go for it,
Wonderful,its good,positive
Worth every penny,good,positive
Excellent,original product,positive
Fabulous!,loved it,positive
Great product,beautiful,positive
Perfect product!,nice product but price high,Positive
Super!,awesome,Positive
Excellent,mind blowing,positive
Good quality product,good,positive
Worth every penny,good product,positive
Wonderful,best,positive
Very Good,good,Positive
Just okay,medium,neutral
Nice product,nice,positive
Very Good,the product is really awesome ,positive
Simply awesome,l always love it,positive
Very Good,ok,Positive
Excellent,best kajal,Positive
Awesome,good,positive
Classy product,very good product,positive
Must buy!,amazing,positive
Must buy!,great,Positive
Mind-blowing purchase,good product,positive
Simply awesome,very fast delivery so good product i am very happy,Positive
Wonderful,v nice product i am very happy ,positive
Nice product,very nice,positive
Best in the market!,supar,positive
Good quality product,good,Positive
Unsatisfactory,very poor quality very upset with flipkart never expected such bad quality product from flipkart,negative
Brilliant,very nice product,positive
Value-for-money,good product,positive
Brilliant,its awesome,positive
Simply awesome,nice,positive
Must buy!,it is amazing product,positive
Worth the money,my fav,Positive
Good quality product,good,positive
Awesome,good,positive
Fabulous!,good,positive
Moderate,nice ,positive
Perfect product!,very good,positive
Classy product,awesome product,Positive
Must buy!,superb,Positive
Must buy!,good one,Positive
Super!,nice,positive
Must buy!,good,Positive
Simply awesome,nice kajal pack,Positive
Highly recommended,lovely,positive
Must buy!,thanks flipkart,positive
Highly recommended,sooo good product l love it soo much ,positive
Wonderful,very nice,Positive
Nice product,very fast delivery excellent but delivery boy behaviour not good,negative
Brilliant,nice product,positive
Wonderful,thank you flipkart,positive
Just okay,very happy ,Positive
Must buy!,perfect kajal,positive
Classy product,nice product,
Terrific,nice,positive
Pretty good,nice,positive
Fair,good,positive
Worth the money,perfect ,Positive
Fabulous!,love it,positive
Value-for-money,good,Positive
Terrific,super,positive
Fabulous!,super thank you flipkart,positive
Mind-blowing purchase,good one,positive
Fair,very well,positive
Super!,osmm,Positive
Super!,always i purchase good product,positive
Mind-blowing purchase,good,positive
Terrific,super,positive
Mind-blowing purchase,original kajal,positive
Highly recommended,good,positive
Highly recommended,nce products,positive
Excellent,beautiful,positive
Fabulous!,good one super dark long hour stay really happy ,positive
Good,good,positive
Best in the market!,it just amazing i love it ,positive
Fabulous!,thanks flipkart,positive
Perfect product!,good produt,positive
Worth every penny,nice,positive
Worth every penny,super,positive
Pretty good,nice,positive
Useless product,bad product,negative
Brilliant,nice,positive
Excellent,awasm,positive
Nice,nice,positive
Terrific,osm productthanku flipkart,positive
Brilliant,the best,Positive
Awesome,worth buying,positive
Does the job,its ok but not so dark,positive
Terrific purchase,nice look,Positive
Brilliant,super,positive
Must buy!,very nice thanks flipkart,positive
Terrific,nice product ,positive
Highly recommended,very good products,Positive
Terrific,too good,positive
Good quality product,simply good,positive
Hated it!,verd bad,negative
Bad quality,dont like,Negative
Good,good,positive
Excellent,good quantity,positive
Excellent,nice,Positive
Excellent,gd product,Positive
Super!,nice product thanx flipkart,positive
Fabulous!,nice,positive
Super!,very nice ,positive
Delightful,its good,positive
Just wow!,good product with best discount,positive
Pretty good,nice,positive
Don't waste your money,product is broken worthless,negative
Classy product,great,Positive
Great product,superb product ,positive
Good,same as it shown in picture,positive
Wonderful,long lasting its very nice,positive
Just okay,good,positive
Perfect product!,exlent,positive
Worth the money,good,positive
Must buy!,awesome ,positive
Awesome,as expected ,Positive
Delightful,good product,positive
Best in the market!,very very nice ,positive
Good quality product,good product,positive
Good quality product,nice product,positive
Best in the market!,gd,positive
Delightful,product is good,positive
Wonderful,nice,positive
Classy product,best kajal ,positive
Just okay,good product,positive
Utterly Disappointed,product is not good dont buy,Negative
Fabulous!,awesome,positive
Decent product,product was okey ,Neutral
Good quality product,nice,positive
Wonderful,super,positive
Good quality product,good,positive
Nice,super,Positive
Worth every penny,fantastic,positive
Just okay,nice,Positive
Waste of money!,bad product,negative
Worth every penny,awesome,positive
Classy product,vry gd nd im very happy nd also fst delivery thnk u so much flipcrt,positive
Super!,really super product with best offer,positive
Wonderful,sopar awesome wow sopar,Positive
Excellent,nice product,positive
Highly recommended,very good tq flipkart,positive
Super!,nice,positive
Simply awesome,good,positive
Excellent,nice kajal,positive
Classy product,very nice company thank you flipkart,positive
Just wow!,good product,positive
Best in the market!,nyc,positive
Wonderful,nice one,positive
Terrific purchase,thank you flipkart good product,positive
Great product,long lasting kajal ever,positive
Excellent,good,
Worth the money,good item,positive
Wonderful,its parfect no issues,positive
Super!,a long lasting kajal in affordable price,positive
Awesome,super,
Good,not long lastingbut okay,neutral
Awesome,i really love this kajal love it delivery is very good ,positive
Super!,super,positive
Pretty good,i think is good,positive
Decent product,good,Positive
Perfect product!,nice,Positive
Good choice,eye conic kajol hai u can buy this excellent product,positive
Super!,nice,positive
Great product,happy with this product,positive
Highly recommended,thanks flipkart nice product arsh parwez ,Positive
Fabulous!,nice,Positive
Classy product,good kajal,positive
Just okay,nice,positive
Nice product,good product,positive
Terrific,super,positive
Classy product,good product,positive
Very poor,bad product,negative
Perfect product!,wow,positive
Simply awesome,awesome im so happy ,positive
Mind-blowing purchase,good,positive
Brilliant,nice product,Positive
Mind-blowing purchase,perfect ,positive
Worst experience ever!,quality is not good,negative
Excellent,very nice product,Positive
Excellent,good,
Worth every penny,lovely,positive
Really Nice,nyc,positive
Terrific purchase,nice kajal,Positive
Brilliant,wow its my favorite,positive
Brilliant,affordable,Positive
Wonderful,goodthank you flipcart,
Just okay,good,positive
Great product,nice product thankyou flipcart for the fast delivery,positive
Just wow!,its always good,positive
Fabulous!,good product,positive
Fabulous!,good,positive
Nice,good,positive
Wonderful,best choice,positive
Wonderful,same product received,Positive
Good choice,good product,positive
Pretty good,this kajal is nice oneand it is quality product ,Positive
Awesome,nice,positive
Brilliant,good,positive
Highly recommended,good product,Positive
Mind-blowing purchase,lakme one of my favorite productsuper,positive
Unsatisfactory,the quality of this kajal is very pathetic there are sideeffects such as eyes get watery and irritations in eyes i dont think its original product,negative
Worth every penny,value for money at this price ,positive
Simply awesome,iconic best kajal darker doesnt irritate eyes,positive
Worth every penny,fabulous purchase,positive
Worth every penny,very nice product,positive
Fabulous!,awesome price,positive
Best in the market!,good one must buy,positive
Super!,good product,positive
Just wow!,very smooth to apply,positive
Just wow!,to good,Positive
Worth every penny,gud,positive
Simply awesome,super,positive
Mind-blowing purchase,nice product,Positive
Terrific purchase,good quality,positive
Just wow!,have been using this since 3 years now,positive
Bad quality,not so good,Negative
Wonderful,nice kajal,positive
Simply awesome,superb,positive
Fabulous!,good purchase,positive
Just wow!,very nice,positive
Good,loved it ,Positive
Good quality product,nyc,Positive
Great product,excellent,Positive
Excellent,good,positive
Value-for-money,nice,Positive
Good choice,jest ok,neutral
Really Nice,good,positive
Simply awesome,good,Positive
Worth the money,good ptoduct,positive
Really Nice,nice,positive
Great product,nice product,Positive
Must buy!,osm,positive
Pretty good,i like it ,positive
Wonderful,perfect product,Positive
Must buy!,right brand,positive
Classy product,nice product,positive
Nice product,ok,neutral
Excellent,nice product,Positive
Terrific,superb,positive
Worth every penny,fast delivery nd cost is best thanq you flipcart,positive
Nice product,its a good beauty product,positive
Simply awesome,value for money,Positive
Wonderful,good i bought it three times,positive
Fabulous!,very nice product by flipkart thank you,positive
Value-for-money,gd,positive
Excellent,i love it,positive
Pretty good,nice,positive
Excellent,good qualitygo for it,positive
Terrible product,this is too bad eye liner is broken part to part hate it dont buy ,negative
Super!,nice ,positive
Highly recommended,genuine lakme productbig thanks flipkart,positive
Really Nice,nice as expected,Positive
Highly recommended,loved it thanx flipkart ,positive
Simply awesome,good,Positive
Just okay,good,positive
Worth the money,best,
Terrific purchase,very nice,positive
Value-for-money,nice kajal ,positive
Great product,i am using this eyeconic kajal from many years such a nice product give my eyes a new look give me full confidence ,positive
Utterly Disappointed,very bag product and very very bad service,negative
Brilliant,nice product thanks flipkart,Positive
Decent product,nice this one,Positive
Classy product,awesome product,positive
Highly recommended,nice product,Positive
Fabulous!,love this product ,positive
Decent product,nice,positive
Great product,nice,positive
Must buy!,okay,neutral
Terrific,very nice ,positive
Decent product,nice quality,positive
Great product,superb product,positive
Simply awesome,fantastic,Positive
Mind-blowing purchase,nice good product ,positive
Best in the market!,excellent product must have,positive
Good quality product,good product,positive
Best in the market!,it was nice ,positive
Worth every penny,good product,Positive
Terrific purchase,good,positive
Good quality product,nice product ,positive
Terrific,nice,positive
Mind-blowing purchase,very nice good packing product also good,Positive
Must buy!,awosem thank you flip cart,positive
Really Nice,very nice good product,positive
Wonderful,nice,
Great product,l love it,positive
Worth the money,gd,
Terrific purchase,beautiful,positive
Highly recommended,asusual very much pigmented ,neutral
Best in the market!,worth to purchase it,positive
Mind-blowing purchase,its very sperbi love it ,Positive
Great product,nice lakme kajal iam so happy ,positive
Absolute rubbish!,my grocery item is short,negative
Wonderful,nice,positive
Fabulous!,god,positive
Absolute rubbish!,love it,positive
Classy product,very good product,Positive
Super!,very nice product,Positive
Perfect product!,very good,Positive
Classy product,just awesome thank you filpkart,positive
Really Nice,good,positive
Delightful,good,positive
Good,fabulous,positive
Fabulous!,very good quality,positive
Classy product,worth the money,positive
Super!,its very good product,positive
Worth the money,good product,positive
Simply awesome,very nic,
Terrific purchase,perfect ,
Good,good ,positive
Terrific purchase,nice product,positive
Nice,good,positive
Super!,i love it thank you flipkart,positive
Highly recommended,nice,positive
Don't waste your money,got an eye infection after using thisblepharitisalso the kajal seems dry and difficult to use ive used this brand previously when i bought it offline it was good unlike this,negative
Great product,best kajal,Positive
Classy product,super product,positive
Just okay,nice kajal,positive
Best in the market!,nice,positive
Really Nice,i love itmind blowing ,positive
Simply awesome,excellent product in excellent price,positive
Mind-blowing purchase,good product,positive
Nice product,satisfied with that product,positive
Wonderful,awsm product,Positive
Fabulous!,good,positive
Super!,super review you,positive
Simply awesome,super,positive
Worth every penny,this is an amazing kajal price quality product amount expiry date everything is good enough to give it a perfect 1010 ,positive
Great product,these are same as usual from years beautiful dark colour ,Positive
Good quality product,good product,positive
Great product,nice product,Positive
Perfect product!,wowbut shipping fee is to much,neutral
Excellent,high quality,positive
Terrific purchase,ossom,positive
Brilliant,i really like it ,positive
Really Nice,good,positive
Must buy!,super,positive
Wonderful,lakme eyeconic kajal awesome as always ,positive
Great product,good service and good product,positive
Simply awesome,good,Positive
Simply awesome,good,Positive
Wonderful,nice ,Positive
Super!,nice,Positive
Must buy!,nice,positive
Fair,good product,Positive
Simply awesome,nice,positive
Great product,good product,positive
Super!,nice product,positive
Great product,very nice product,positive
Best in the market!,good,positive
Perfect product!,thanks filipkart,positive
Worth every penny,goood prodact,Positive
Very Good,amazing product,positive
Excellent,value for money ,positive
Good quality product,nice,positive
Mind-blowing purchase,very good,positive
Delightful,nice product,
Wonderful,very good,positive
Just okay,value for money,positive
Excellent,great,positive
Nice product,nice flipkarttime to time delivered,positive
Highly recommended,vgood product,neutral
Must buy!,supper,neutral
Super!,as usual it was good,Positive
Highly recommended,gud product value for money,positive
Terrific,good item,
Value-for-money,nice,Positive
Super!,wonderful lakme kajal,positive
Must buy!,excellent,
Just okay,kajal is overall good but my eyes burn after 2024 hours of applying it,positive
Must buy!,nice ,positive
Just wow!,like it good,Positive
Simply awesome,the product delivery was on time lakme eyeconic kajal twin pack is very smooth and dark blackapplication is very easythough is smudges a bit i really like it,positive
Brilliant,good,positive
Super!,good black ,positive
Brilliant,love it,positive
Just wow!,good product,positive
Highly recommended,good product,positive
Best in the market!,nice,Positive
Perfect product!,good,positive
Terrific purchase,very nice product,positive
Wonderful,good,Positive
Best in the market!,good,positive
Pretty good,original,positive
Excellent,nice,positive
Brilliant,good one,positive
Worth the money,good,positive
Hated it!,nice but tomuch amount,positive
Really Nice,good,positive
Good choice,okay ,neutral
Awesome,super,positive
Best in the market!,super quality,positive
Good,good,positive
Terrific,best,positive
Highly recommended,supper nice quality thanks to flip cart ,positive
Fabulous!,its really too good,positive
Worth every penny,beautiful beautiful,positive
Worth the money,good one as usual,positive
Pretty good,nice quality loved it ,positive
Super!,supar,positive
Perfect product!,too good ,positive
Just wow!,very good kajal l love it ,positive
Mind-blowing purchase,nyc,positive
Really Nice,good product,positive
Awesome,very good product after the use this kajal my eyes looking like pretty this is my favourite kajal,Positive
Worth the money,good,positive
Must buy!,very good item thank you flipkart,positive
Very Good,good,positive
Wonderful,its really good,positive
Does the job,for regular use its okk,
Terrific purchase,very nice,positive
Simply awesome,good product,positive
Decent product,good,positive
Just wow!,original productthanks flipkart,positive
Simply awesome,good,positive
Waste of money!,bad sarvies,negative
Excellent,very nice,positive
Delightful,love it,positive
Perfect product!,nice,Positive
Worth the money,packaging was neat and received as shown in picture,Positive
Highly recommended,amazing,positive
Nice product,nice product,Positive
Best in the market!,nice,Positive
Best in the market!,very nice ,positive
Super!,nice product ,positive
Terrific purchase,nice product good quality,positive
Fair,lovely but not smooge prove nd no long lasting,
Terrific,perfect product thank you flipkart,positive
Nice product,nice product,positive
Great product,very nice,positive
Simply awesome,best,positive
Great product,loved it,positive
Worth every penny,very nice,positive
Terrific purchase,like this,positive
Worth the money,nice products,positive
Brilliant,nice one,positive
Good quality product,it is good,Positive
Fabulous!,i liked it ,positive
Best in the market!,sooper product,Neutral
Just wow!,nice,positive
Simply awesome,good,positive
Value-for-money,wife and daughter both loved them,positive
Perfect product!,best ,positive
Fair,nice,positive
Mind-blowing purchase,nice,positive
Value-for-money,good genuine product,Positive
Worth every penny,good product,positive
Pretty good,very nice product ,positive
Worth every penny,gud one,positive
Best in the market!,good product,positive
Best in the market!,very very nice ,positive
Terrific purchase,realy nice kajal nice pigmentation,positive
Delightful,good,Positive
Really Nice,nice kajal,positive
Classy product,very good,Positive
Best in the market!,awesome product,positive
Brilliant,good kajal,positive
Nice,not bad,positive
Not good,its old,neutral
Just wow!,very nice,positive
Delightful,nice,positive
Simply awesome,good,
Excellent,dark kajal it looks amazing ,positive
Must buy!,good product,positive
Brilliant,nyc product worthy,positive
Mind-blowing purchase,nice,positive
Simply awesome,very nice productreally impressed thankyou soo much,positive
Fabulous!,very nice,positive
Fabulous!,go for it,positive
Classy product,super,Positive
Must buy!,perfect,positive
Simply awesome,very good ,positive
Moderate,product quality is not good its waste of money,negative
Fabulous!,its too good ,positive
Wonderful,good,positive
Perfect product!,good,positive
Excellent,very good,positive
Absolute rubbish!,smudges al lot,neutral
Classy product,excellent,positive
Mind-blowing purchase,nice,positive
Simply awesome,awesome thanks flipcart,positive
Simply awesome,excellent thank you flipkart,Positive
Pretty good,nice,positive
Worth the money,nice,positive
Super!,thank you so much,positive
Just wow!,nice product,positive
Super!,good one,Positive
Best in the market!,excelllent thank you,positive
Good quality product,nic,neutral
Fabulous!,superb,neutral
Excellent,good,positive
Highly recommended,good,positive
Delightful,good,positive
Worth the money,good,Positive
Simply awesome,nice product,positive
Wonderful,super,positive
Great product,i had bought this for myself i can say one thing that its awesome you may,neutral
Simply awesome,awesome ,positive
Terrific purchase,lovely,positive
Awesome,really awesome product tooo good ,positive
Fabulous!,kajal was super up and long losting,positive
Simply awesome,very good kajalvery much satisfied ,positive
Wonderful,good one,positive
Worth every penny,i am using this kajal since last three years its amazing,Positive
Great product,nice very good,positive
Highly recommended,nice,Positive
Terrific,nice product all good,Positive
Worth every penny,nice product,Positive
Worth every penny,really good product worth the money go for it without any doubt,positive
Classy product,good,positive
Classy product,good,positive
Mind-blowing purchase,btw nice productnon allergic and non sticky,Positive
Terrific purchase,must buy,positive
Just wow!,good product,Positive
Fabulous!,excellent,positive
Good quality product,worth moneyorginal product,positive
Mind-blowing purchase,go with this,Positive
Great product,nice pdct,positive
Best in the market!,nice,positive
Simply awesome,nice,Positive
Simply awesome,very good tnx flipcart,positive
Excellent,good,positive
Highly recommended,very good,positive
Brilliant,very nice,Positive
Simply awesome,original product thanks to flipkart,positive
Terrific,good,Positive
Terrific,excellent,positive
Highly recommended,nice kajal,
Wonderful,good,positive
Highly recommended,nice product,positive
Must buy!,best quality,positive
Awesome,high quality in low price,Negative
Terrific,good product,positive
Worth every penny,super,positive
Simply awesome,good,positive
Simply awesome,nice,positive
Worth every penny,nice,positive
Mind-blowing purchase,awesome,positive
Delightful,good,positive
Super!,nice,Positive
Must buy!,good product,Positive
Awesome,love it,Positive
Just wow!,fab,positive
Perfect product!,osm all,positive
Really Nice,happy,positive
Classy product,very good product,positive
Great product,nice product,positive
Perfect product!,must buy,positive
Simply awesome,good,positive
Perfect product!,laxme always rocks,positive
Super!,awesome product thanks for sending amazing products its so nice original thank filp card,Positive
Really Nice,super,positive
Wonderful,thanks lakme giving me sexy looks wow,positive
Just wow!,nice product ,positive
Mind-blowing purchase,deep blackworth itgo for it,Positive
Super!,nice ,positive
Brilliant,nice,positive
Fabulous!,good quality product combo price also grt,positive
Does the job,nice,positive
Value-for-money, i love it ,positive
Super!,nice,positive
Highly recommended,awesome product thank you flipkart,
Just wow!,a good product ,positive
Fair,smooth nd nice finishing,positive
Must buy!,super,positive
Very Good,good,positive
Excellent,very beautiful,positive
Must buy!,good quality,positive
Fabulous!,trusting you flipcart buying beauty products i got original products thanks i loved it,positive
Classy product,awesome,positive
Just okay,nice product,positive
Great product,good quality ,positive
Just okay,its the best,positive
Good quality product,good for the rate,positive
Terrific purchase,good kajal,Positive
Worth every penny,its very good kajal,positive
Excellent,sprb prodect,positive
Great product,good product,positive
Wonderful,good onegenuine productthank you flipkart,positive
Classy product,ok good,positive
Classy product,very good product,positive
Best in the market!,good product thanks flipkart,positive
Must buy!,very good,Positive
Wonderful,all time favourite deal genuine products,
Great product,very nice product,positive
Great product,good,positive
Brilliant,im so happythis kajal is very good i am very happy,
Classy product,super say upper,positive
Excellent,excellent product,positive
Must buy!,outstanding ,positive
Simply awesome,good,Positive
Super!,good packing and nice product,Positive
Highly recommended,very impressive,
Highly recommended,super,positive
Highly recommended,my all time favourite ,Positive
Super!,good,Positive
Pretty good,nice product,Positive
Super!,amazing product,positive
Fabulous!,lakme offers you great product and this is one of them,positive
Wonderful,nice,positive
Terrific purchase,siperb,positive
Terrific purchase,good product,positive
Nice,good,positive
Best in the market!,long lasting easy to use and very pretty look it gives definitely go for it,Positive
Brilliant,good,positive
Perfect product!,very nice ,positive
Brilliant,nice product,positive
Perfect product!,nice product wonderful ,
Terrific,good,Positive
